EMP_Id,Gender,Age_at_recruitment,Education_Level,Marital_Status_at_recruitment,Have_Children_at_recruitment,Work_Location,Office_Distance,Prior_Experience,No_of_Previous Employers,Interview result,Final test results, Initial Salary ,Direct_Indirect,Department,Religion,Meal Apply,JOB Grade,Last/Current Salary,Age,Marital_Status,Have_Children,Leaving Reason, Service Months ,Status_2021
1712499,F,19,O/L,SINGLE,NO CHILDEREN,KGL,4,0,0,5,2,24500,INDIRECT,PRODUCTION,BUDDHISM,YES,A+,34000,22,SINGLE,NO CHILDEREN, -   ,39,Active
1712742,F,38,Secondary,MARRIED,HAVE CHILDREN,KGL,4,17,5,5,4,20350,DIRECT,PRODUCTION,BUDDHISM,YES,C,26850,41,MARRIED,HAVE CHILDREN, -   ,35,Active
1712934,F,21,O/L,,NO CHILDEREN,KGL,1,2,1,2,3,23000,DIRECT,PRODUCTION,BUDDHISM,YES,C,29500,24,MARRIED,NO CHILDEREN, -   ,31,Active
1713114,F,30,O/L,MARRIED,HAVE CHILDREN,KGL,3,9,3,2,1,28350,DIRECT,PRODUCTION,BUDDHISM,YES,A,34350,32,MARRIED,HAVE CHILDREN, -   ,29,Active
1713145,F,29,Secondary,MARRIED,HAVE CHILDREN,KGL,2,8,2,5,4,22900,DIRECT,PRODUCTION,BUDDHISM,YES,C,27400,31,MARRIED,HAVE CHILDREN, -   ,28,Active
1713383,F,21,A/L,SINGLE,NO CHILDEREN,KGL,4,0,0,5,2,26500,DIRECT,PRODUCTION,BUDDHISM,YES,A,32500,23,SINGLE,NO CHILDEREN, -   ,25,Active
1713606,F,30,O/L,MARRIED,HAVE CHILDREN,KGL,2,9,3,1,1,28450,DIRECT,PRODUCTION,CHRISTIANITY,YES,A+,35950,32,MARRIED,HAVE CHILDREN, -   ,23,Active
1713621,F,18,Secondary,MARRIED,NO CHILDEREN,KGL,1,0,0,5,3,24500,DIRECT,PRODUCTION,BUDDHISM,YES,B,29500,20,MARRIED,NO CHILDEREN, -   ,23,Active
1713625,F,38,O/L,MARRIED,HAVE CHILDREN,KGL,1,17,5,1,1,28850,DIRECT,PRODUCTION,BUDDHISM,YES,A+,36350,40,MARRIED,HAVE CHILDREN, -   ,23,Active
1714207,F,19,Secondary,SINGLE,NO CHILDEREN,KGL,3,0,0,5,5,20500,DIRECT,PRODUCTION,BUDDHISM,YES,D,21500,20,SINGLE,NO CHILDEREN, -   ,13,Active
