food,foodLabel,mother,motherLabel,father,fatherLabel,label_clean,label_temp,category
http://www.wikidata.org/entity/Q100255672,moho,http://www.wikidata.org/entity/Q11002,sugar,,,sugar,,spice
http://www.wikidata.org/entity/Q100255672,moho,http://www.wikidata.org/entity/Q841779,coconut milk,,,coconut milk,,fruits
http://www.wikidata.org/entity/Q100255672,moho,http://www.wikidata.org/entity/Q1269205,rice flour,,,rice flour,,flour
http://www.wikidata.org/entity/Q100255672,moho,http://www.wikidata.org/entity/Q2249305,wheat flour,,,wheat flour,,flour
http://www.wikidata.org/entity/Q100529246,punten,http://www.wikidata.org/entity/Q11254,salt,,,salt,#N/A,spice
http://www.wikidata.org/entity/Q100529246,punten,http://www.wikidata.org/entity/Q115443,glutinous rice,,,glutinous rice,,carb
http://www.wikidata.org/entity/Q100529246,punten,http://www.wikidata.org/entity/Q841779,coconut milk,,,coconut milk,,fruits
http://www.wikidata.org/entity/Q101432536,Lemonilo,,,,,,#N/A,#N/A
http://www.wikidata.org/entity/Q104620199,anyang,http://www.wikidata.org/entity/Q13187,Cocos nucifera,http://www.wikidata.org/entity/Q2772,West Sumatra,palm sugar,palm sugar,seasoning
http://www.wikidata.org/entity/Q104620199,anyang,http://www.wikidata.org/entity/Q193498,Allium cepa var. aggregatum,http://www.wikidata.org/entity/Q2772,West Sumatra,shallot,shallot,spice
http://www.wikidata.org/entity/Q104620199,anyang,http://www.wikidata.org/entity/Q1323455,Asparagus bean,http://www.wikidata.org/entity/Q2772,West Sumatra,asparagus,asparagus,vegetables
http://www.wikidata.org/entity/Q104620199,anyang,http://www.wikidata.org/entity/Q1385709,bean sprout,http://www.wikidata.org/entity/Q2772,West Sumatra,bean sprout,,vegetables
http://www.wikidata.org/entity/Q104622587,bika,http://www.wikidata.org/entity/Q11002,sugar,http://www.wikidata.org/entity/Q2772,West Sumatra,sugar,,spice
http://www.wikidata.org/entity/Q104622587,bika,http://www.wikidata.org/entity/Q841779,coconut milk,http://www.wikidata.org/entity/Q2772,West Sumatra,coconut milk,,fruits
http://www.wikidata.org/entity/Q104622587,bika,http://www.wikidata.org/entity/Q1269205,rice flour,http://www.wikidata.org/entity/Q2772,West Sumatra,rice flour,,flour
http://www.wikidata.org/entity/Q104622587,bika,http://www.wikidata.org/entity/Q3342808,coconut,http://www.wikidata.org/entity/Q2772,West Sumatra,coconut,,fruits
http://www.wikidata.org/entity/Q104629646,Gabin tapai,http://www.wikidata.org/entity/Q8495,milk,http://www.wikidata.org/entity/Q2772,West Sumatra,milk,,dairy and egg
http://www.wikidata.org/entity/Q104629646,Gabin tapai,http://www.wikidata.org/entity/Q856330,cracker,http://www.wikidata.org/entity/Q2772,West Sumatra,cracker,,misc
http://www.wikidata.org/entity/Q104629646,Gabin tapai,http://www.wikidata.org/entity/Q5259142,Tapai,http://www.wikidata.org/entity/Q2772,West Sumatra,Tapai,,misc
http://www.wikidata.org/entity/Q104629864,Gulai tauco,http://www.wikidata.org/entity/Q120096,tempeh,http://www.wikidata.org/entity/Q2772,West Sumatra,tempeh,,protein
http://www.wikidata.org/entity/Q104629864,Gulai tauco,http://www.wikidata.org/entity/Q165199,chili,http://www.wikidata.org/entity/Q2772,West Sumatra,chili,,spice
http://www.wikidata.org/entity/Q104629864,Gulai tauco,http://www.wikidata.org/entity/Q177378,tofu,http://www.wikidata.org/entity/Q2772,West Sumatra,tofu,,protein
