"carat","cut","color","clarity","depth","table","price","x","y","z"
0.52,"Ideal","G","SI1",61.2,55,1675,5.2,5.23,3.19
1.73,"Premium","H","SI1",62.4,58,11969,7.61,7.64,4.76
2.54,"Very Good","I","SI2",63.4,56,12095,8.68,8.64,5.49
0.36,"Ideal","E","VS1",61.6,57,1094,4.58,4.54,2.81
0.59,"Ideal","E","VS2",61.5,56,1789,5.38,5.42,3.32
0.89,"Ideal","G","VVS2",61.7,55,4062,6.22,6.19,3.83
0.72,"Very Good","D","VS1",59.4,56,3619,5.85,5.9,3.49
0.71,"Ideal","E","VS1",62.2,57,3081,5.74,5.7,3.56
0.28,"Ideal","G","VS2",62.2,54,497,4.21,4.24,2.63
2.54,"Very Good","I","SI2",62.4,60,17996,8.58,8.73,5.4
0.91,"Premium","G","VS2",59.5,58,4241,6.34,6.26,3.75
0.53,"Ideal","D","VS2",62.2,56,1956,5.19,5.16,3.22
0.73,"Very Good","F","SI1",60.4,57,2549,5.86,5.89,3.55
1.2,"Premium","G","VVS2",62.8,59,10053,6.72,6.65,4.2
0.72,"Very Good","H","SI2",63.5,58,1942,5.65,5.68,3.6
0.3,"Ideal","I","VS2",62.3,56,407,4.28,4.29,2.67
0.74,"Premium","F","SI1",58.8,61,2042,5.88,5.82,3.44
0.42,"Ideal","D","SI1",61.7,56,810,4.79,4.83,2.97
1.02,"Very Good","H","SI1",64.4,59,5047,6.24,6.36,4.06
1.02,"Premium","I","VS2",62,58,4459,6.44,6.47,4
2,"Premium","G","SI2",61.7,60,11355,7.95,7.9,4.89
0.41,"Premium","E","VS1",61.8,58,1079,4.73,4.75,2.93
1.64,"Premium","F","SI1",61.3,58,12821,7.65,7.59,4.67
0.44,"Premium","E","SI1",62.3,59,810,4.84,4.88,3.03
1.04,"Good","J","VS2",58.2,64,3285,6.64,6.53,3.85
0.61,"Ideal","F","SI2",61.3,55,1424,5.47,5.55,3.38
0.33,"Premium","G","VS1",59.2,59,854,4.54,4.51,2.68
1.23,"Ideal","G","VVS2",62.2,56.1,9921,6.8,6.87,4.25
0.4,"Very Good","I","VS1",62.9,59,737,4.68,4.73,2.96
0.81,"Ideal","E","SI1",61.9,55,3913,5.98,6.01,3.71
0.33,"Ideal","E","VS2",62.6,57,928,4.42,4.37,2.75
0.42,"Ideal","E","VVS2",61.8,56,1273,4.8,4.78,2.96
1.01,"Ideal","F","I1",62.2,54,3439,6.44,6.42,4
1.03,"Ideal","D","SI2",62.8,56,4764,6.46,6.43,4.05
0.5,"Fair","D","SI1",65.1,58,1323,5,4.96,3.24
2.05,"Premium","J","VS1",62.4,58,14224,8.08,8.13,5.06
0.36,"Very Good","E","VS1",60.6,58,894,4.61,4.63,2.8
0.71,"Ideal","I","VVS1",62.4,55,2559,5.69,5.76,3.57
0.63,"Fair","E","SI1",64.6,57.7,1952,5.36,5.41,3.47
0.44,"Ideal","D","VVS2",61.8,54.8,1408,4.89,4.92,3.03
0.83,"Premium","H","SI1",58.6,61,2613,6.2,6.16,3.62
1.02,"Ideal","D","VS2",61.5,56,9502,6.46,6.49,3.99
0.7,"Ideal","E","SI1",62.7,55,2774,5.68,5.74,3.58
1.01,"Very Good","D","SI1",61.5,54,5132,6.4,6.47,3.96
1.05,"Very Good","G","SI1",59.7,58,5019,6.6,6.66,3.96
0.34,"Ideal","G","IF",60.1,57,1084,4.58,4.54,2.74
0.3,"Ideal","H","VVS2",62.2,57,590,4.26,4.29,2.66
0.53,"Ideal","G","IF",62.1,57,2372,5.16,5.21,3.22
0.71,"Ideal","E","VS2",62.5,56,3304,5.69,5.71,3.56
0.71,"Very Good","F","SI1",63.7,56,2370,5.63,5.67,3.6
0.4,"Ideal","F","VVS2",61.7,56,1163,4.74,4.72,2.92
0.59,"Ideal","G","VVS2",62.3,56,2155,5.34,5.39,3.34
0.88,"Very Good","I","SI1",62.5,56,2699,6.06,6.19,3.83
0.51,"Ideal","F","VS2",62.5,53,1431,5.12,5.15,3.21
0.7,"Ideal","E","VS2",62.8,57,2697,5.71,5.62,3.56
0.3,"Fair","F","VS2",65.4,55,776,4.25,4.22,2.77
0.51,"Premium","E","SI2",59.5,60,1294,5.25,5.17,3.1
1.2,"Premium","E","VVS2",61.4,56,11435,6.94,6.83,4.23
1.64,"Good","I","SI1",57.9,61,10102,7.78,7.74,4.49
0.23,"Very Good","E","VVS2",60.2,57,465,3.99,4.05,2.42
0.26,"Very Good","F","VS1",60.4,56,499,4.14,4.16,2.51
1.14,"Premium","H","SI1",63,57,4654,6.7,6.65,4.2
1.21,"Very Good","I","VS1",60.6,60,5726,6.89,6.85,4.16
1.2,"Ideal","H","VS2",59.9,57,6487,6.91,6.87,4.13
0.33,"Ideal","G","VS1",60.1,55,854,4.55,4.5,2.72
0.33,"Ideal","D","VS2",62.5,55,781,4.41,4.45,2.77
0.51,"Ideal","G","VS2",61.6,56,1427,5.13,5.18,3.18
0.54,"Premium","G","SI1",61.7,59,1389,5.2,5.17,3.2
1.04,"Premium","G","SI1",61.4,57,5086,6.56,6.5,4.01
0.41,"Premium","D","VVS1",61.6,58,1582,4.78,4.74,2.93
0.5,"Ideal","F","VS1",62.1,55,1731,5.08,5.12,3.17
0.91,"Good","D","SI2",64.1,62,3349,6.06,6.01,3.87
0.51,"Ideal","D","VS2",61.9,57,1882,5.13,5.11,3.17
2.15,"Premium","H","I1",62.9,57,6357,8.25,8.2,5.18
0.32,"Ideal","E","VS2",61.7,55,702,4.36,4.42,2.71
1.09,"Ideal","E","VS2",61.2,56,7443,6.62,6.67,4.07
0.43,"Ideal","D","VS2",60.7,57,1056,4.88,4.91,2.97
0.9,"Premium","G","SI1",62.7,58,3774,6.13,6.08,3.83
0.42,"Ideal","H","IF",61,56,1213,4.82,4.79,2.93
0.34,"Ideal","F","IF",61.7,55,1276,4.49,4.52,2.78
0.96,"Ideal","J","VS2",61.5,57,3326,6.32,6.36,3.9
0.73,"Good","E","SI1",57.9,55,2749,6,5.96,3.46
1.01,"Premium","H","SI2",58.8,58,4242,6.62,6.57,3.88
0.4,"Very Good","F","SI1",62.1,57,687,4.65,4.69,2.9
0.51,"Very Good","D","VS1",62.2,59,1959,5.1,5.13,3.18
0.28,"Very Good","E","VVS2",60,56,642,4.26,4.28,2.56
0.38,"Premium","D","VS2",61.6,59,998,4.66,4.62,2.86
1.53,"Ideal","I","VS2",62.1,55,9116,7.43,7.35,4.59
1.01,"Premium","E","VS1",61.2,61,6670,6.41,6.33,3.9
0.25,"Premium","F","VS1",61.2,59,558,4.05,4.02,2.47
0.7,"Good","H","SI1",63.7,59,2335,5.59,5.53,3.54
0.33,"Ideal","D","SI2",62,57,492,4.45,4.46,2.76
1.17,"Ideal","G","VVS2",60.6,56,9225,6.87,6.84,4.15
0.42,"Ideal","G","VS1",61.9,56,921,4.77,4.82,2.97
0.42,"Very Good","F","VS1",61.9,55,1031,4.78,4.82,2.97
0.36,"Ideal","H","VVS1",61.8,56,794,4.6,4.63,2.85
1.06,"Ideal","E","SI2",62.2,55,5319,6.54,6.51,4.06
1.08,"Very Good","E","SI2",62.9,59,5018,6.44,6.53,4.08
0.37,"Ideal","G","VS1",61.9,54,741,4.62,4.68,2.88
2.04,"Premium","J","VS2",60.9,59,11209,8.25,8.21,5.01
0.3,"Premium","E","VS2",61.9,61,844,4.32,4.28,2.66
0.71,"Ideal","G","SI2",59.5,57,2194,5.86,5.78,3.46
1.02,"Good","F","SI2",59.6,64,3633,6.58,6.55,3.91
0.71,"Premium","F","VS2",59.6,59,2686,5.81,5.77,3.45
0.3,"Very Good","J","VS1",61.2,61,394,4.3,4.33,2.64
0.9,"Ideal","H","SI1",62.1,56,4492,6.14,6.19,3.83
0.42,"Premium","E","VS1",62.2,59,1181,4.79,4.76,2.97
0.41,"Very Good","F","IF",61.6,58,1313,4.75,4.79,2.94
0.44,"Premium","F","VS2",61.1,62,1018,4.98,4.92,3.03
1.02,"Premium","D","SI1",60.6,59,5918,6.53,6.47,3.94
2.01,"Fair","G","SI2",65.6,56,15562,7.89,7.84,6.16
0.41,"Good","I","SI1",63.8,57,784,4.7,4.67,2.99
0.33,"Premium","G","VS1",60.8,59,666,4.43,4.45,2.7
1.01,"Good","D","SI1",61.7,62,5443,6.3,6.34,3.9
0.3,"Ideal","D","SI1",62.1,57,524,4.25,4.28,2.65
0.9,"Premium","F","SI2",60.3,55,3704,6.35,6.28,3.81
0.32,"Ideal","F","VVS2",61.2,57,800,4.42,4.44,2.71
0.41,"Good","D","SI1",63.4,56,707,4.73,4.76,3.01
0.33,"Premium","G","VS1",61.3,58,854,4.45,4.42,2.72
0.7,"Premium","G","SI1",59.9,58,2016,5.8,5.68,3.44
0.77,"Good","H","SI1",63,65,2393,5.82,5.74,3.64
0.51,"Good","G","SI1",63.1,64,1107,5.08,5.03,3.19
0.37,"Ideal","E","SI1",62.7,54,649,4.55,4.6,2.87
1,"Good","J","VS2",57.6,58,3422,6.59,6.56,3.79
0.43,"Ideal","G","VVS2",61.9,55,1056,4.84,4.86,3
1.09,"Ideal","D","SI2",61.7,59,5410,6.64,6.62,4.09
1.53,"Ideal","I","SI2",61.3,59,8062,7.42,7.39,4.54
1.08,"Good","H","VVS1",63.1,57,6504,6.52,6.57,4.13
0.32,"Ideal","E","VS2",61.3,56,612,4.41,4.46,2.72
0.32,"Ideal","E","VS2",61.5,56,716,4.43,4.45,2.73
0.64,"Very Good","I","SI1",63,57,1390,5.47,5.52,3.46
0.33,"Ideal","G","VVS1",62.3,55,1040,4.44,4.42,2.76
1.32,"Ideal","G","VS2",62.4,57,8728,7.05,6.98,4.38
0.73,"Good","E","SI2",63.3,57,2388,5.69,5.72,3.61
0.71,"Very Good","F","SI1",62.1,58,2221,5.64,5.72,3.53
1,"Good","D","SI1",64.1,56,6328,6.28,6.24,4.01
