"Complex/Location wise contribution","","","Technology wise contribution of MW","","",""
"","MW
MVAr","","","MW","MVAr","MW %"
"K-M Complex Hydro","281.3
63.9","","Hydro2","1223.6","143.0","48.8%"
"Mahaweli Complex Hydro","689.2
52.3","","Thermal Coal","466.2","72.2","18.6%"
"Samanala Hydro","154.5","26.8","Thermal Oil","192.0","70.5","7.7%"
"CEB Small Hydro","8.7","0.0","IPP Thermal","617.2","114.9","24.6%"
"CEB Thermal - Coal","466.2","72.2","Wind","8.0","0.0","0.3%"
"CEB Thermal- Oil","192.0","70.5","Solar PV(Bulk)","0.0","0.0","0.0%"
"IPP Thermal","617.2","114.9","Capacitors","","79.2",""
"IPP2 (MHP+BMP)","89.9","N/A","Total","2507.0","479.8","pf -
0.98 @
19:00 h"
"Wind","8.0","0.0","Day Peak2 and Minimum2 Generation","","",""
"","","","MW     
MVAr","","",""
"Capacitors","-","","79.2 Minimum Generation2
1379.4
-31.1
pf -
1.00 @
3:15 h","","",""
"Total Night Peak3
2507.0","","","479.8 Day peak Generation2
2159.4
728.3
pf -
0.95 @
16:00 h","","",""
