This is an internal document,,,,,,,,,,,,,,,,,,
Energy Generation,,,,,,,,,,,,,,,,,,
Complex wise generation and energy mix,,,,,,,,,,,,,,,,,,
K-M Complex,5.38GWh,,11.83%,Hydro,15.39GWh,33.87%,,,,,,,,,,,,
Mahaweli Complex,9.29GWh,,20.45%,,,,,,,,,,,,,,,
Samanala Complex,0.72GWh,,1.58%,,,,,,,,,,,,,,,
Thermal Complex,4.14GWh,,9.11%,Thermal,29.00GWh,63.84%,,,,,,,,,,,,
Coal,11.23GWh,,24.72%,,,,,,,,,,,,,,,
IPP Thermal,13.64GWh,,30.02%,,,,,,,,,,,,,,,
Solar PV (Bulk),0.32GWh,,0.69%,Solar(Bulk),0.32GWh,0.69%,,,,,,,,,,,,
Wind,0.73GWh,,1.60%,Wind,0.73GWh,1.60%,,,,,,,,,,,,
Power Generation/ Demand,,,,,,,,,,,,,,,,,,
Night Peak Generation at19:00hrs on26-Aug-202507.0MW,,,,,,,,,,,,,,,,,,
Complex/Location wise contribution,,Technology wise contribution of MW,,,,,,,,,,,,,,,,
,MW,MVAr,,,MW,MVAr,MW %,,,,,,,,,,,
K-M Complex Hydro,281.3,63.9,,"2Hydro",1223.6,143,48.80%,,,,,,,,,,,
Mahaweli Complex Hydro,689.252.3,,Thermal Coal,466.2,72.2,18.60%,,,,,,,,,,,,
Samanala Hydro,154.5,26.8,,Thermal Oil,192,70.5,7.70%,,,,,,,,,,,
CEB Small Hydro,8.7,0,,IPP Thermal,617.2,114.9,24.60%,,,,,,,,,,,
CEB Thermal - Coal,466.2,72.2,,Wind,8,0,0.30%,,,,,,,,,,,
CEB Thermal- Oil,192,70.5,,Solar PV(Bulk),0,0,0.00%,,,,,,,,,,,
IPP Thermal,617.2,114.9,,Capacitors,,79.2,,,,,,,,,,,,
"2IPP  (MHP+BMP)",89.9,N/A,,Total,2507,479.8,pf -0.98@19:00h,,,,,,,,,,,
Wind,8,0,,"22Day Peak  and Minimum  Generation",,,,,,,,,,,,,,
,,,,,MW,MVAr,,,,,,,,,,,,
Capacitors,-,79.2,,"2Minimum Generation",1379.4,-31.1,pf -1.00@3:15h,,,,,,,,,,,
